movie_name,release_year,critics,rating_score,directors,actors
Batman,1989,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",72%,Tim Burton,"['Michael Keaton', 'Jack Nicholson', 'Kim Basinger', 'Robert Wuhl']"
Under Siege,1992,"A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.",79%,Andrew Davis,"['Steven Seagal', 'Tommy Lee Jones', 'Gary Busey', 'Erika Eleniak']"
Independence Day,1996,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",65%,Roland Emmerich,"['Will Smith', 'Bill Pullman', 'Jeff Goldblum', 'Mary McDonnell']"
Bullitt,1968,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,97%,Peter Yates,"['Steve McQueen', 'Robert Vaughn', 'Jacqueline Bisset', 'Don Gordon']"
Wanted,2008,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.",71%,Timur Bekmambetov,"['James McAvoy', 'Morgan Freeman', 'Angelina Jolie', 'Terence Stamp']"
Superman,1978,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",94%,Richard Donner,"['Marlon Brando', 'Christopher Reeve', 'Gene Hackman', 'Ned Beatty']"
Ronin,1998,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.",68%,John Frankenheimer,"['Robert De Niro', 'Jean Reno', 'Natascha McElhone', 'Stellan Skarsgard']"
They Live,1988,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",86%,John Carpenter,"['Roddy Piper', 'Keith David', 'Meg Foster', 'Peter Jason']"
Cliffhanger,1993,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.",68%,,[]
Marvel's The Avengers,2012,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",92%,,[]
Hot Fuzz,2007,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,91%,Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Jim Broadbent', 'Steve Coogan']"
The Warriors,1979,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.",89%,Walter Hill,"['Michael Beck', 'James Remar', 'Thomas G. Waites', 'Dorsey Wright']"
Starship Troopers,1997,A fun movie...if you can accept the excessive gore and wooden acting.,63%,Paul Verhoeven,"['Casper Van Dien', 'Dina Meyer', 'Denise Richards', 'Jake Busey']"
Elite Squad: The Enemy Within,2011,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.",93%,José Padilha,"['Wagner Moura', 'André Mattos', 'Sandro Rocha', 'Maria Ribeiro']"
Point Break,1991,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.",69%,Kathryn Bigelow,"['Keanu Reeves', 'Patrick Swayze', 'Gary Busey', 'Lori Petty']"
The Long Kiss Goodnight,1996,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",69%,Renny Harlin,"['Geena Davis', 'Samuel L. Jackson', 'Patrick Malahide', 'Craig Bierko']"
The Guest,2014,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.",91%,Adam Wingard,"['Dan Stevens', 'Leland Orser', 'Lance Reddick', 'Sheila Kelley']"
Taken,2009,"Taken is undeniably fun with slick action, but is largely a brainless exercise.",58%,Pierre Morel,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Xander Berkeley']"
300,2007,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.",60%,Zack Snyder,"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Rodrigo Santoro']"
True Lies,1994,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.",70%,James Cameron,"['Arnold Schwarzenegger', 'Jamie Lee Curtis', 'Tom Arnold', 'Bill Paxton']"
Demolition Man,1993,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.",62%,Marco Brambilla,"['Sylvester Stallone', 'Wesley Snipes', 'Sandra Bullock', 'Nigel Hawthorne']"
Hardcore Henry,2016,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill.",51%,Ilya Naishuller,"['Sharlto Copley', 'Danila Kozlovsky', 'Haley Bennett', 'Tim Roth']"
Police Story (Ging chaat goo si) (Police Force),1985,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats.",93%,Jackie Chan,"['Jackie Chan', 'Brigitte Lin', 'Maggie Cheung', 'Cho Yuen']"
Brotherhood of the Wolf,2001,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.",73%,Christophe Gans,"['Samuel Le Bihan', 'Vincent Cassel', 'Émilie Dequenne', 'Monica Bellucci']"
Kingsman: The Secret Service,2015,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.",74%,Matthew Vaughn,"['Taron Egerton', 'Colin Firth', 'Mark Hamill', 'Samuel L. Jackson']"
The Fifth Element,1997,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.",71%,Luc Besson,"['Bruce Willis', 'Ian Holm', 'Gary Oldman', 'Chris Tucker']"
Big Trouble in Little China,1986,"Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them.",77%,John Carpenter,"['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong']"
Atomic Blonde,2017,Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,79%,David Leitch,"['Charlize Theron', 'James McAvoy', 'John Goodman', 'Til Schweiger']"
Rumble in the Bronx,1995,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,80%,Stanley Tong,"['Jackie Chan', 'Anita Mui', 'Francoise Yip', 'Bill Tung']"
District B13 (Banlieue 13),2006,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.",80%,Pierre Morel,"['Cyril Raffaelli', 'David Belle', ""Tony D'Amario"", 'Bibi Naceri']"
Beverly Hills Cop,1984,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.",82%,Martin Brest,"['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Lisa Eilbacher']"
Ong-Bak (Ong Bak: Muay Thai Warrior),2005,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.",85%,Prachya Pinkaew,"['Tony Jaa', 'Petchtai Wongkamlao', 'Petchthai Wongkamlao', 'Pumwaree Yodkamol']"
Collateral,2004,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.",86%,Michael Mann,"['Tom Cruise', 'Jamie Foxx', 'Mark Ruffalo', 'Jada Pinkett Smith']"
Iron Monkey,2001,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.",91%,Woo-ping Yuen,"['Rongguang Yu', 'Donnie Yen', 'Jean Wang', 'Tsang Sze-Man']"
Escape from New York,1981,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.",86%,John Carpenter,"['Kurt Russell', 'Lee Van Cleef', 'Ernest Borgnine', 'Donald Pleasence']"
Battle Royale,2000,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.",87%,Kinji Fukasaku,"['Aki Maeda', 'Ai Iwamura', 'Chiaki Kuriyama', 'Tatsuya Fujiwara']"
Spider-Man 2,2004,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",93%,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina']"
13 Assassins,2011,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.",95%,Takashi Miike,"['Koji Yakusho', 'Takayuki Yamada', 'Yusuke Iseya', 'Goro Inagaki']"
Full Contact,1992,No consensus yet.,88%,Ringo Lam,"['Yun-Fat Chow', 'Simon Yam', 'Ann Bridgewater', 'Anthony Wong']"
Indiana Jones and the Last Crusade,1989,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.",88%,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']"
Kung Fu Hustle,2005,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",90%,Stephen Chow,"['Stephen Chow', 'Wah Yuen', 'Shengyi Huang', 'Kwok-Kwan Chan']"
A Better Tomorrow,2010,No consensus yet.,93%,Hae-sung Song,"['Yun-Fat Chow', 'Leslie Cheung', 'Lung Ti', 'Young Pao I']"
Iron Man,2008,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",94%,,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Gwyneth Paltrow']"
The Night Comes For Us,2018,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.",90%,Timo Tjahjanto,"['Joe Taslim', 'Iko Uwais', 'Julie Estelle', 'Sunny Pang']"
