movie_name,release_year,critics,rating_score,directors,actors
Léon: The Professional,1994,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,73%,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
Speed,1994,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.",94%,Lee Sang-woo,[]
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,83%,Lau Kar-Leung,"['Jackie Chan', 'Siu Tin Yuen', 'Jang Lee Hwang', 'Kau Lam']"
John Wick,2014,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",86%,David Leitch,"['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen', 'Adrianne Palicki']"
"Crouching Tiger, Hidden Dragon",2001,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.",97%,Ang Lee,"['Yun-Fat Chow', 'Michelle Yeoh', 'Ziyi Zhang', 'Chen Chang']"
Predator,1987,"Predator: Part sci-fi, part horror, part action -- all muscle.",81%,John McTiernan,"['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidia Carrillo', 'Bill Duke']"
The Bourne Ultimatum,2007,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",92%,Paul Greengrass,"['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn']"
Total Recall,1990,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.",82%,Paul Verhoeven,"['Arnold Schwarzenegger', 'Rachel Ticotin', 'Sharon Stone', 'Ronny Cox']"
Mad Max 2: The Road Warrior,1982,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.",95%,George Miller,"['Mel Gibson', 'Bruce Spence', 'Vernon Wells', 'Emil Minty']"
Heat,1995,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.",86%,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']"
The Raid: Redemption,2012,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.",86%,Gareth Evans,"['Iko Uwais', 'Joe Taslim', 'Doni Alamsyah', 'Yahan Ruhian']"
Mission: Impossible - Fallout,2018,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",97%,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']"
Raiders of the Lost Ark,1981,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.",95%,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Wolf Kahler']"
Aliens,1986,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",97%,James Cameron,"['Sigourney Weaver', 'Carrie Henn', 'Michael Biehn', 'Paul Reiser']"
Lat sau san taam (Hard-Boiled),1992,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.",94%,John Woo,"['Yun-Fat Chow', 'Tony Leung Chiu Wai', 'Anthony Wong', 'Teresa Mo']"
The Matrix,1999,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.",87%,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Joe Pantoliano']"
Terminator 2: Judgment Day,1991,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.",93%,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
Die Hard,1988,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,93%,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Reginald VelJohnson', 'Bonnie Bedelia']"
Mad Max: Fury Road,2015,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",97%,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Rosie Huntington-Whiteley']"
